AGENCIA,VENTANILLA,TIPO,NRO,GENERADO,ASIGNADO,_INICIO_ATENCION,_FIN_ATENCION
AGENCIA_CAMACHO,3,C,C20,09:52:16,09:54:58,09:55:19,09:57:23
AGENCIA_CAMACHO,3,C,C26,09:58:48,09:58:54,09:59:15,10:01:15
AGENCIA_CAMACHO,3,C,C28,10:09:40,10:11:32,10:11:44,10:14:28
AGENCIA_CAMACHO,3,C,C29,10:11:48,10:14:29,10:14:38,10:17:42
AGENCIA_CAMACHO,3,C,C52,11:28:10,11:29:54,11:29:59,11:30:29
AGENCIA_CAMACHO,3,C,C54,11:30:06,11:30:31,11:30:47,11:32:37
AGENCIA_CAMACHO,3,C,C58,11:37:43,11:40:35,11:40:42,11:41:37
AGENCIA_CAMACHO,3,C,C60,11:38:42,11:41:38,11:41:40,11:43:16
AGENCIA_CAMACHO,3,C,C64,11:49:57,11:50:26,11:50:29,12:02:08
AGENCIA_CAMACHO,3,C,C71,12:10:18,12:11:41,12:12:03,12:23:13
AGENCIA_CAMACHO,3,C,C80,12:38:49,12:38:59,12:41:31,12:41:32
AGENCIA_CAMACHO,3,C,C83,12:41:21,12:41:33,12:41:40,12:44:07
AGENCIA_CAMACHO,3,C,C85,12:44:37,12:44:39,12:48:03,12:48:04
AGENCIA_CAMACHO,3,C,C90,12:58:15,12:58:18,12:59:31,12:59:31
AGENCIA_CAMACHO,4,C,C25,09:58:06,09:58:09,10:05:33,10:05:33
AGENCIA_CAMACHO,4,C,C30,10:12:05,10:14:58,10:15:00,10:17:23
AGENCIA_CAMACHO,4,C,C32,10:14:50,10:17:24,10:17:25,10:21:57
AGENCIA_CAMACHO,4,C,C33,10:20:33,10:21:58,10:21:59,10:26:35
AGENCIA_CAMACHO,4,C,C35,10:22:57,10:27:56,10:27:57,10:29:16
AGENCIA_CAMACHO,4,C,C36,10:23:57,10:29:16,10:29:18,10:31:34
AGENCIA_CAMACHO,4,C,C37,10:25:57,10:31:35,10:31:37,10:37:32
AGENCIA_CAMACHO,4,C,C38,10:30:29,10:37:33,10:37:35,10:42:21
AGENCIA_CAMACHO,4,C,C41,10:39:41,10:42:57,10:42:59,10:47:53
AGENCIA_CAMACHO,4,C,C44,10:44:30,10:48:30,10:48:31,10:52:51
AGENCIA_CAMACHO,4,C,C46,10:57:40,10:57:50,10:58:05,10:58:55
AGENCIA_CAMACHO,4,C,C47,10:59:14,10:59:16,10:59:46,11:03:56
AGENCIA_CAMACHO,4,C,C48,11:01:37,11:03:58,11:03:59,11:06:57
AGENCIA_CAMACHO,4,C,C49,11:06:35,11:06:59,11:07:01,11:07:43
AGENCIA_CAMACHO,4,C,C51,11:26:03,11:26:35,11:26:36,11:30:43
AGENCIA_CAMACHO,4,C,C55,11:30:20,11:30:44,11:30:47,11:56:18
AGENCIA_CAMACHO,4,C,C73,12:19:06,12:19:09,12:20:02,12:20:06
AGENCIA_CAMACHO,4,C,C75,12:27:24,12:33:59,12:34:00,12:34:44
AGENCIA_CAMACHO,4,C,C77,12:30:32,12:34:45,12:34:46,12:38:57
AGENCIA_CAMACHO,4,C,C88,12:53:01,12:53:05,12:53:13,12:57:57
AGENCIA_CAMACHO,4,C,C91,13:01:27,13:02:01,13:02:03,13:23:29
AGENCIA_CAMACHO,2,C,C1,09:06:23,09:06:52,09:07:08,09:09:41
AGENCIA_CAMACHO,2,C,C4,09:13:36,09:14:34,09:14:43,09:15:50
AGENCIA_CAMACHO,2,C,C5,09:19:57,09:20:05,09:22:03,09:22:04
AGENCIA_CAMACHO,2,C,C7,09:25:24,09:25:29,09:25:40,09:32:45
AGENCIA_CAMACHO,2,C,C8,09:27:19,09:34:40,09:34:48,09:45:23
AGENCIA_CAMACHO,2,C,C18,09:50:11,09:53:36,09:53:43,09:55:57
AGENCIA_CAMACHO,2,C,C23,09:54:49,09:55:58,09:56:04,09:56:40
AGENCIA_CAMACHO,2,C,C24,09:55:27,09:56:41,09:56:52,09:58:10
AGENCIA_CAMACHO,2,C,C27,10:09:22,10:09:28,10:09:37,10:14:09
AGENCIA_CAMACHO,2,C,C34,10:21:10,10:23:58,10:24:06,10:38:52
AGENCIA_CAMACHO,2,C,C39,10:38:45,10:39:39,10:39:51,10:42:07
AGENCIA_CAMACHO,2,C,C40,10:39:21,10:42:08,10:42:15,10:43:50
AGENCIA_CAMACHO,2,C,C42,10:42:15,10:43:51,10:43:54,10:45:19
AGENCIA_CAMACHO,2,C,C43,10:44:13,10:47:49,10:47:57,10:49:18
AGENCIA_CAMACHO,2,C,C45,10:57:32,10:57:35,11:04:05,11:04:06
AGENCIA_CAMACHO,2,C,C50,11:24:49,11:24:53,11:25:08,11:30:00
AGENCIA_CAMACHO,2,C,C53,11:29:50,11:30:02,11:30:19,11:31:14
AGENCIA_CAMACHO,2,C,C56,11:36:13,11:36:20,11:36:25,11:37:48
AGENCIA_CAMACHO,2,C,C57,11:37:01,11:37:49,11:38:00,11:39:52
AGENCIA_CAMACHO,2,C,C61,11:40:02,11:42:49,11:43:01,11:43:01
AGENCIA_CAMACHO,2,C,C62,11:43:52,11:43:53,11:44:05,11:51:56
AGENCIA_CAMACHO,2,C,C65,11:51:16,11:53:51,11:54:00,11:55:13
AGENCIA_CAMACHO,2,C,C66,11:52:12,11:55:14,11:55:27,11:56:35
AGENCIA_CAMACHO,2,C,C67,11:53:55,11:56:36,11:56:48,12:01:36
AGENCIA_CAMACHO,2,C,C72,12:18:32,12:18:37,12:18:46,12:18:49
AGENCIA_CAMACHO,2,C,C76,12:27:33,12:34:00,12:34:14,12:35:49
AGENCIA_CAMACHO,2,C,C79,12:38:40,12:38:43,12:38:53,12:41:13
AGENCIA_CAMACHO,2,C,C81,12:39:28,12:41:14,12:41:22,12:42:22
AGENCIA_CAMACHO,2,C,C84,12:43:59,12:44:05,12:44:12,12:44:45
AGENCIA_CAMACHO,2,C,C86,12:46:52,12:46:58,12:47:59,12:48:00
AGENCIA_CAMACHO,2,C,C87,12:51:34,12:51:35,12:52:06,13:01:26
AGENCIA_CAMACHO,5,IV,IV2,09:19:21,09:19:21,09:19:21,09:20:40
AGENCIA_CAMACHO,5,IV,IV3,09:25:48,09:25:48,09:25:48,09:34:42
AGENCIA_CAMACHO,5,IV,IV9,11:06:14,11:06:14,11:06:14,11:41:12
AGENCIA_CAMACHO,5,IV,IV16,11:59:07,11:59:07,11:59:07,12:00:38
AGENCIA_CAMACHO,5,IV,IV22,12:13:29,12:13:29,12:13:29,12:15:27
AGENCIA_CAMACHO,5,IV,IV23,12:15:52,12:15:52,12:15:52,12:16:29
AGENCIA_CAMACHO,5,IV,IV26,12:21:55,12:21:55,12:21:55,12:23:22
AGENCIA_CAMACHO,3,IV,IV1,09:13:01,09:13:01,09:13:01,09:22:12
AGENCIA_CAMACHO,3,IV,IV4,10:02:32,10:02:32,10:02:32,10:07:57
AGENCIA_CAMACHO,3,IV,IV5,10:08:29,10:08:29,10:08:29,10:11:31
AGENCIA_CAMACHO,3,IV,IV7,11:04:32,11:04:32,11:04:32,11:24:58
AGENCIA_CAMACHO,3,IV,IV13,11:25:41,11:25:41,11:25:41,11:29:52
AGENCIA_CAMACHO,3,IV,IV14,11:36:11,11:36:11,11:36:11,11:40:34
AGENCIA_CAMACHO,3,IV,IV15,11:43:27,11:43:27,11:43:27,11:50:25
AGENCIA_CAMACHO,3,IV,IV18,12:02:24,12:02:24,12:02:24,12:05:52
AGENCIA_CAMACHO,3,IV,IV19,12:06:10,12:06:10,12:06:10,12:07:20
AGENCIA_CAMACHO,3,IV,IV21,12:10:17,12:10:17,12:10:17,12:11:40
AGENCIA_CAMACHO,4,IV,IV6,10:53:02,10:53:02,10:53:02,10:56:09
AGENCIA_CAMACHO,4,IV,IV10,11:09:05,11:09:05,11:09:05,11:10:39
AGENCIA_CAMACHO,4,IV,IV11,11:18:13,11:18:13,11:18:13,11:21:32
AGENCIA_CAMACHO,4,IV,IV12,11:25:18,11:25:18,11:25:18,11:26:34
AGENCIA_CAMACHO,4,IV,IV17,12:00:43,12:00:43,12:00:43,12:04:02
AGENCIA_CAMACHO,4,IV,IV25,12:21:48,12:21:48,12:21:48,12:32:41
AGENCIA_CAMACHO,4,IV,IV27,12:58:42,12:58:42,12:58:42,13:01:57
AGENCIA_CAMACHO,2,IV,IV8,11:04:41,11:04:41,11:04:41,11:07:41
AGENCIA_CAMACHO,2,IV,IV20,12:08:09,12:08:09,12:08:09,12:13:23
AGENCIA_CAMACHO,2,IV,IV24,12:18:55,12:18:55,12:18:55,12:26:53
AGENCIA_CAMACHO,5,P,P1,09:05:24,09:05:26,09:08:41,09:19:09
AGENCIA_CAMACHO,5,P,P3,09:21:51,09:21:55,09:22:20,09:25:23
AGENCIA_CAMACHO,5,P,P12,10:10:57,10:13:54,10:13:58,10:15:26
AGENCIA_CAMACHO,5,P,P18,11:45:01,11:48:16,11:48:58,11:57:23
AGENCIA_CAMACHO,5,P,P19,11:59:53,12:01:33,12:02:00,12:05:38
AGENCIA_CAMACHO,5,P,P21,12:04:33,12:05:46,12:05:50,12:07:47
AGENCIA_CAMACHO,5,P,P25,12:23:15,12:23:24,12:23:33,12:31:33
AGENCIA_CAMACHO,5,P,P30,12:27:42,12:31:34,12:32:05,12:32:09
AGENCIA_CAMACHO,5,P,P32,12:34:49,12:35:42,12:36:19,12:41:30
AGENCIA_CAMACHO,3,P,P2,09:11:26,09:12:59,00:00:00,00:00:00
AGENCIA_CAMACHO,3,P,P5,09:30:35,09:35:36,09:35:41,09:47:04
AGENCIA_CAMACHO,3,P,P14,10:17:01,10:17:43,10:18:11,11:04:03
AGENCIA_CAMACHO,3,P,P24,12:22:16,12:23:14,12:23:22,12:26:27
AGENCIA_CAMACHO,3,P,P26,12:24:13,12:26:28,12:26:38,12:37:36
AGENCIA_CAMACHO,4,P,P9,10:03:08,10:05:34,10:05:35,10:07:43
AGENCIA_CAMACHO,4,P,P10,10:04:56,10:07:44,10:07:45,10:13:30
AGENCIA_CAMACHO,4,P,P11,10:10:14,10:13:40,10:13:43,10:14:57
AGENCIA_CAMACHO,4,P,P22,12:12:23,12:12:31,12:12:54,12:15:05
AGENCIA_CAMACHO,4,P,P23,12:13:27,12:15:06,12:15:16,12:18:08
AGENCIA_CAMACHO,2,P,P4,09:26:10,09:32:46,09:32:54,09:34:39
AGENCIA_CAMACHO,2,P,P6,09:37:24,09:47:02,09:47:05,09:51:03
AGENCIA_CAMACHO,2,P,P7,09:48:34,09:51:04,09:51:15,09:53:35
AGENCIA_CAMACHO,2,P,P8,09:59:40,09:59:45,09:59:53,10:08:03
AGENCIA_CAMACHO,2,P,P13,10:11:37,10:14:10,10:18:40,10:18:41
AGENCIA_CAMACHO,2,P,P15,10:37:24,10:38:53,10:39:02,10:39:38
AGENCIA_CAMACHO,2,P,P16,11:09:30,11:09:32,11:13:12,11:13:13
AGENCIA_CAMACHO,2,P,P17,11:37:21,11:39:53,11:39:56,11:42:48
AGENCIA_CAMACHO,2,P,P20,12:03:13,12:03:22,12:03:27,12:07:15
AGENCIA_CAMACHO,2,P,P27,12:24:24,12:26:55,12:27:02,12:28:25
AGENCIA_CAMACHO,2,P,P28,12:24:55,12:28:26,12:28:30,12:30:28
AGENCIA_CAMACHO,2,P,P29,12:25:13,12:30:29,12:30:31,12:31:43
AGENCIA_CAMACHO,2,P,P31,12:28:11,12:31:44,12:31:49,12:33:59
AGENCIA_CAMACHO,5,PR,PR11,11:38:53,11:42:50,11:43:00,11:44:40
AGENCIA_CAMACHO,4,PR,PR1,09:05:34,09:08:36,09:08:38,09:10:16
AGENCIA_CAMACHO,4,PR,PR3,09:07:42,09:10:26,09:10:40,09:41:37
AGENCIA_CAMACHO,4,PR,PR5,10:12:13,10:13:31,10:13:33,10:13:39
AGENCIA_CAMACHO,4,PR,PR7,10:22:04,10:26:36,10:26:37,10:27:55
AGENCIA_CAMACHO,4,PR,PR8,10:39:11,10:42:22,10:42:24,10:42:55
AGENCIA_CAMACHO,4,PR,PR9,10:45:13,10:47:54,10:47:55,10:48:28
AGENCIA_CAMACHO,4,PR,PR10,11:11:45,11:11:50,11:12:23,11:18:09
AGENCIA_CAMACHO,4,PR,PR13,11:53:37,11:56:18,11:56:21,12:00:40
AGENCIA_CAMACHO,4,PR,PR14,12:03:39,12:04:03,12:04:04,12:06:03
AGENCIA_CAMACHO,4,PR,PR15,12:04:10,12:06:04,12:06:05,12:11:49
AGENCIA_CAMACHO,4,PR,PR17,12:24:36,12:32:42,12:32:43,12:33:48
AGENCIA_CAMACHO,4,PR,PR18,12:25:20,12:33:49,12:33:50,12:33:58
AGENCIA_CAMACHO,2,PR,PR2,09:05:54,09:09:41,09:10:00,09:14:34
AGENCIA_CAMACHO,2,PR,PR4,09:32:22,09:45:24,09:45:29,09:47:00
AGENCIA_CAMACHO,2,PR,PR6,10:19:29,10:19:34,10:19:47,10:23:57
AGENCIA_CAMACHO,2,PR,PR12,11:39:50,11:43:02,11:43:06,11:43:50
AGENCIA_CAMACHO,2,PR,PR16,12:04:23,12:07:16,12:07:31,12:07:32
AGENCIA_CAMACHO,2,PR,PR19,12:59:57,13:01:27,13:02:29,13:02:30
AGENCIA_CAMACHO,5,U,U1,10:11:21,10:15:29,10:15:37,10:16:18
AGENCIA_CAMACHO,2,U,U2,10:42:01,10:45:20,10:45:26,10:47:48
AGENCIA_CAMACHO,2,U,U3,11:49:03,11:51:57,11:52:08,11:53:50
AGENCIA_CAMACHO,2,U,U4,12:12:46,12:13:24,12:13:29,12:16:33
AGENCIA_CAYMA,6,C,C2,09:02:59,09:03:09,09:03:24,09:06:23
AGENCIA_CAYMA,6,C,C3,09:03:29,09:06:24,09:06:34,09:07:27
AGENCIA_CAYMA,6,C,C4,09:03:50,09:07:28,09:07:30,09:08:53
AGENCIA_CAYMA,6,C,C6,09:07:54,09:08:54,09:08:55,09:10:01
AGENCIA_CAYMA,6,C,C7,09:08:40,09:10:02,09:10:03,09:11:55
AGENCIA_CAYMA,6,C,C8,09:10:19,09:11:56,09:11:58,09:13:36
AGENCIA_CAYMA,6,C,C9,09:12:49,09:13:37,09:13:38,09:25:20
AGENCIA_CAYMA,6,C,C14,09:24:02,09:25:21,09:26:51,09:27:37
AGENCIA_CAYMA,6,C,C16,09:27:19,09:27:39,09:27:56,09:31:52
AGENCIA_CAYMA,6,C,C19,09:31:08,09:31:53,09:31:54,09:36:12
AGENCIA_CAYMA,6,C,C22,09:34:36,09:36:13,09:36:18,09:38:52
AGENCIA_CAYMA,6,C,C23,09:35:02,09:38:53,09:38:57,09:41:13
AGENCIA_CAYMA,6,C,C26,09:38:28,09:41:15,09:41:16,09:42:04
AGENCIA_CAYMA,6,C,C27,09:39:28,09:42:45,09:42:46,09:45:27
AGENCIA_CAYMA,6,C,C31,09:43:32,09:45:38,09:45:51,09:54:27
AGENCIA_CAYMA,6,C,C36,09:54:24,10:02:29,10:02:45,10:04:17
AGENCIA_CAYMA,6,C,C37,09:55:08,10:04:19,10:04:21,10:04:56
AGENCIA_CAYMA,6,C,C38,09:58:06,10:04:58,10:04:59,10:06:20
AGENCIA_CAYMA,6,C,C39,09:59:54,10:06:27,10:06:28,10:08:40
AGENCIA_CAYMA,6,C,C52,10:18:43,10:32:28,10:32:42,10:32:46
AGENCIA_CAYMA,6,C,C54,10:21:03,10:32:47,10:32:48,10:35:40
AGENCIA_CAYMA,6,C,C57,10:27:17,10:40:09,10:40:12,10:40:20
AGENCIA_CAYMA,6,C,C58,10:28:17,10:40:21,10:40:22,10:44:48
AGENCIA_CAYMA,6,C,C64,10:34:54,10:44:50,10:44:51,10:48:18
AGENCIA_CAYMA,6,C,C65,10:35:37,10:48:19,10:48:21,10:49:47
AGENCIA_CAYMA,6,C,C67,10:38:43,10:49:48,10:49:51,10:52:58
AGENCIA_CAYMA,6,C,C71,10:42:53,10:55:30,10:55:49,10:59:53
AGENCIA_CAYMA,6,C,C74,10:45:41,10:59:55,10:59:56,11:09:04
AGENCIA_CAYMA,6,C,C80,10:52:47,11:10:42,11:10:44,11:12:16
AGENCIA_CAYMA,6,C,C81,10:53:27,11:12:17,11:12:25,11:12:30
AGENCIA_CAYMA,6,C,C82,10:55:11,11:12:31,11:12:33,11:12:55
AGENCIA_CAYMA,6,C,C83,10:59:14,11:12:57,11:12:58,11:14:50
AGENCIA_CAYMA,6,C,C87,11:04:42,11:14:51,11:14:55,11:20:19
AGENCIA_CAYMA,6,C,C93,11:11:09,11:20:20,11:20:22,11:23:14
AGENCIA_CAYMA,6,C,C96,11:13:33,11:23:16,11:23:18,11:26:56
AGENCIA_CAYMA,6,C,C112,11:32:30,12:11:11,12:11:13,12:12:44
AGENCIA_CAYMA,6,C,C113,11:34:00,12:12:45,12:12:47,12:15:50
AGENCIA_CAYMA,6,C,C116,11:37:22,12:15:51,12:15:54,12:18:11
AGENCIA_CAYMA,6,C,C118,11:38:13,12:18:12,12:18:13,12:22:59
AGENCIA_CAYMA,6,C,C121,11:41:55,12:23:00,12:23:02,12:23:12
AGENCIA_CAYMA,6,C,C122,11:44:45,12:23:13,12:23:14,12:32:27
AGENCIA_CAYMA,6,C,C129,11:54:36,12:32:29,12:32:30,12:32:37
AGENCIA_CAYMA,6,C,C130,11:56:21,12:32:38,12:32:41,12:32:48
AGENCIA_CAYMA,6,C,C131,11:57:18,12:32:49,12:32:51,12:35:16
AGENCIA_CAYMA,6,C,C137,12:00:12,12:35:17,12:35:19,12:38:03
AGENCIA_CAYMA,6,C,C142,12:02:40,12:38:06,12:38:07,12:40:40
AGENCIA_CAYMA,6,C,C146,12:05:51,12:40:41,12:40:48,12:40:50
AGENCIA_CAYMA,6,C,C147,12:06:15,12:40:51,12:40:52,12:44:05
AGENCIA_CAYMA,6,C,C151,12:15:14,12:48:02,12:48:09,12:50:19
AGENCIA_CAYMA,6,C,C152,12:17:42,12:50:29,12:50:35,12:51:46
AGENCIA_CAYMA,6,C,C154,12:19:53,12:51:48,12:51:49,12:52:50
AGENCIA_CAYMA,6,C,C156,12:21:07,12:52:51,12:52:53,12:54:59
AGENCIA_CAYMA,6,C,C158,12:22:10,12:55:00,13:01:16,13:01:17
AGENCIA_CAYMA,6,C,C161,12:27:58,13:01:18,13:01:19,13:04:45
AGENCIA_CAYMA,6,C,C163,12:32:52,13:04:46,13:05:02,13:06:13
AGENCIA_CAYMA,6,C,C165,12:34:03,13:06:14,13:06:15,13:08:08
AGENCIA_CAYMA,6,C,C166,12:36:26,13:08:09,13:08:10,13:08:16
AGENCIA_CAYMA,6,C,C167,12:37:51,13:08:17,13:08:18,13:09:33
AGENCIA_CAYMA,2,C,C1,09:02:08,09:02:45,09:02:56,09:05:13
AGENCIA_CAYMA,2,C,C5,09:04:18,09:08:26,09:08:38,09:11:09
AGENCIA_CAYMA,2,C,C10,09:17:37,09:18:58,09:19:12,09:20:33
AGENCIA_CAYMA,2,C,C11,09:19:31,09:20:34,09:21:16,09:23:28
AGENCIA_CAYMA,2,C,C13,09:22:04,09:23:28,09:23:39,09:25:24
AGENCIA_CAYMA,2,C,C15,09:27:02,09:27:22,09:27:34,09:28:37
AGENCIA_CAYMA,2,C,C24,09:35:24,09:39:09,09:39:25,09:40:23
AGENCIA_CAYMA,2,C,C25,09:36:44,09:40:24,09:40:38,09:43:12
AGENCIA_CAYMA,2,C,C28,09:39:37,09:43:19,09:43:24,09:49:46
AGENCIA_CAYMA,2,C,C32,09:48:04,09:49:47,09:50:08,09:50:09
AGENCIA_CAYMA,2,C,C33,09:48:45,09:50:09,09:51:15,09:52:50
AGENCIA_CAYMA,2,C,C34,09:49:19,09:52:51,09:53:01,09:59:19
AGENCIA_CAYMA,2,C,C35,09:54:13,09:59:21,09:59:34,10:16:17
AGENCIA_CAYMA,2,C,C41,10:03:19,10:16:18,10:16:26,10:19:58
AGENCIA_CAYMA,2,C,C42,10:04:50,10:19:59,10:20:08,10:29:25
AGENCIA_CAYMA,2,C,C48,10:10:41,10:29:26,10:29:36,10:32:34
AGENCIA_CAYMA,2,C,C53,10:19:16,10:32:34,10:32:48,10:33:36
AGENCIA_CAYMA,2,C,C55,10:21:34,10:33:37,10:33:45,10:36:51
AGENCIA_CAYMA,2,C,C56,10:26:41,10:39:45,10:39:54,10:40:47
AGENCIA_CAYMA,2,C,C59,10:29:51,10:40:48,10:41:01,10:41:02
AGENCIA_CAYMA,2,C,C60,10:30:32,10:41:03,10:41:11,10:41:11
AGENCIA_CAYMA,2,C,C61,10:30:58,10:41:12,10:41:25,10:41:26
AGENCIA_CAYMA,2,C,C62,10:32:45,10:41:26,10:41:40,10:43:38
AGENCIA_CAYMA,2,C,C63,10:33:09,10:43:39,10:43:48,10:47:15
AGENCIA_CAYMA,2,C,C66,10:38:11,10:49:38,10:49:49,10:51:12
AGENCIA_CAYMA,2,C,C68,10:40:26,10:51:13,10:51:24,10:52:09
AGENCIA_CAYMA,2,C,C69,10:41:15,10:53:13,10:53:29,10:54:23
AGENCIA_CAYMA,2,C,C70,10:42:27,10:54:24,10:54:38,10:58:18
AGENCIA_CAYMA,2,C,C72,10:44:33,10:58:41,10:58:48,11:00:32
AGENCIA_CAYMA,2,C,C75,10:45:55,11:00:34,11:00:53,11:02:03
AGENCIA_CAYMA,2,C,C76,10:47:14,11:02:04,11:02:12,11:04:05
AGENCIA_CAYMA,2,C,C77,10:49:16,11:04:06,11:04:18,11:05:39
AGENCIA_CAYMA,2,C,C78,10:49:35,11:05:39,11:05:53,11:10:26
AGENCIA_CAYMA,2,C,C79,10:50:16,11:10:27,11:10:36,11:13:53
AGENCIA_CAYMA,2,C,C85,11:01:25,11:13:54,11:14:09,11:16:14
AGENCIA_CAYMA,2,C,C89,11:05:57,11:16:15,11:16:26,11:16:28
AGENCIA_CAYMA,2,C,C90,11:07:48,11:16:29,11:16:53,11:17:50
AGENCIA_CAYMA,2,C,C91,11:08:55,11:18:55,11:19:07,11:23:32
AGENCIA_CAYMA,2,C,C101,11:19:56,11:55:17,11:55:30,11:55:30
AGENCIA_CAYMA,2,C,C102,11:20:19,11:55:31,11:55:42,11:55:43
AGENCIA_CAYMA,2,C,C103,11:21:38,11:55:43,11:55:54,11:55:55
AGENCIA_CAYMA,2,C,C104,11:22:13,11:55:56,11:56:14,11:56:15
AGENCIA_CAYMA,2,C,C106,11:23:26,11:56:16,11:56:31,11:56:32
AGENCIA_CAYMA,2,C,C107,11:24:35,11:56:32,11:56:44,11:59:28
AGENCIA_CAYMA,2,C,C108,11:25:11,11:59:29,11:59:43,12:01:19
AGENCIA_CAYMA,2,C,C109,11:25:42,12:01:19,12:01:31,12:01:32
AGENCIA_CAYMA,2,C,C110,11:29:15,12:01:33,12:01:45,12:01:45
AGENCIA_CAYMA,2,C,C111,11:30:07,12:01:46,12:01:56,12:12:58
AGENCIA_CAYMA,2,C,C114,11:34:53,12:12:59,12:13:13,12:15:31
AGENCIA_CAYMA,2,C,C115,11:35:32,12:15:32,12:15:43,12:16:22
AGENCIA_CAYMA,2,C,C117,11:38:00,12:16:23,12:16:31,12:21:16
AGENCIA_CAYMA,2,C,C119,11:41:14,12:21:17,12:21:29,12:22:49
AGENCIA_CAYMA,2,C,C120,11:41:41,12:22:50,12:23:14,12:23:18
AGENCIA_CAYMA,2,C,C123,11:45:52,12:23:19,12:23:39,12:25:07
AGENCIA_CAYMA,2,C,C124,11:46:53,12:25:08,12:25:20,12:26:20
AGENCIA_CAYMA,2,C,C125,11:47:52,12:26:21,12:26:51,12:26:51
AGENCIA_CAYMA,2,C,C126,11:48:21,12:26:52,12:27:08,12:27:08
AGENCIA_CAYMA,2,C,C127,11:48:39,12:27:09,12:27:20,12:27:20
AGENCIA_CAYMA,2,C,C128,11:49:59,12:27:21,12:27:30,12:32:50
AGENCIA_CAYMA,2,C,C132,11:57:38,12:32:51,12:33:06,12:33:06
AGENCIA_CAYMA,2,C,C133,11:57:47,12:33:07,12:33:14,12:33:14
AGENCIA_CAYMA,2,C,C134,11:58:01,12:33:16,12:33:25,12:33:25
AGENCIA_CAYMA,2,C,C135,11:58:46,12:33:26,12:33:45,12:35:06
AGENCIA_CAYMA,2,C,C136,11:59:12,12:35:07,12:35:17,12:35:17
AGENCIA_CAYMA,2,C,C138,12:00:23,12:35:18,12:35:31,12:35:32
AGENCIA_CAYMA,2,C,C139,12:00:36,12:35:33,12:35:40,12:35:41
AGENCIA_CAYMA,2,C,C140,12:01:16,12:35:42,12:35:50,12:35:51
AGENCIA_CAYMA,2,C,C141,12:02:31,12:35:52,12:36:02,12:39:13
AGENCIA_CAYMA,2,C,C143,12:03:22,12:39:14,12:39:24,12:40:15
AGENCIA_CAYMA,2,C,C144,12:03:57,12:40:16,12:40:27,12:40:27
AGENCIA_CAYMA,2,C,C145,12:05:09,12:40:28,12:40:40,12:43:42
AGENCIA_CAYMA,2,C,C148,12:09:03,12:43:43,12:43:55,12:45:51
AGENCIA_CAYMA,2,C,C149,12:12:17,12:45:52,12:46:00,12:47:41
AGENCIA_CAYMA,2,C,C150,12:13:33,12:47:42,12:47:52,12:50:42
AGENCIA_CAYMA,2,C,C153,12:18:13,12:50:43,12:50:58,12:52:39
AGENCIA_CAYMA,2,C,C155,12:20:52,12:52:40,12:52:52,12:54:16
AGENCIA_CAYMA,2,C,C157,12:21:24,12:54:17,12:54:45,12:57:51
AGENCIA_CAYMA,2,C,C159,12:22:28,12:57:53,12:58:13,13:00:57
